Time,Temperature,Humidity,AirQuality
2024-01-08 16:49:15,27.5,35.2,High
2024-01-08 16:49:17,27.5,35.2,High
2024-01-08 16:49:19,27.5,35.3,High
2024-01-08 16:49:22,27.5,35.3,High
2024-01-08 16:49:24,27.5,35.2,High
2024-01-08 16:49:26,27.5,35.2,High
2024-01-08 16:49:28,27.5,35.2,High
2024-01-08 16:49:31,27.5,35.1,High
2024-01-08 16:49:33,27.5,35.1,High
2024-01-08 16:49:35,27.5,35.2,High
2024-01-08 16:49:37,27.5,35.3,High
2024-01-08 16:49:40,27.5,35.3,High
2024-01-08 16:49:42,27.5,35.3,High
2024-01-08 16:49:44,27.5,35.2,High
2024-01-08 16:49:46,27.5,35.2,High
2024-01-08 16:49:51,27.5,35.2,High
2024-01-08 16:49:55,27.5,35.2,High
2024-01-08 16:49:58,27.5,35.2,High
2024-01-08 16:50:00,27.5,35.4,High
2024-01-08 16:50:04,27.5,35.3,High
2024-01-08 16:50:07,27.5,35.2,High
2024-01-08 16:50:09,27.5,35.2,High
2024-01-08 16:50:11,27.5,35.2,High
2024-01-08 16:50:14,27.5,35.2,High
2024-01-08 16:50:16,27.5,35.1,High
2024-01-08 16:50:18,27.5,35.1,High
2024-01-08 16:50:23,27.5,35.2,High
2024-01-08 16:50:25,27.5,35.1,High
2024-01-08 16:50:27,27.5,35.1,High
2024-01-08 16:50:29,27.5,35.1,High
2024-01-08 16:50:34,27.5,35.2,High
2024-01-08 16:50:36,27.5,35.2,High
2024-01-08 16:50:38,27.5,35.2,High
2024-01-08 16:50:41,27.5,35.2,High
2024-01-08 16:50:45,27.5,35.2,High
2024-01-08 16:50:47,27.5,35.2,High
2024-01-08 16:50:50,27.5,35.1,High
2024-01-08 16:50:54,27.5,35.2,High
2024-01-08 16:50:56,27.5,35.2,High
2024-01-08 16:50:59,27.5,35.2,High
2024-01-08 16:51:01,27.5,35.2,High
2024-01-08 16:51:03,27.5,35.1,High
2024-01-08 16:51:05,27.5,35.1,High
2024-01-08 16:51:08,27.5,35.1,High
2024-01-08 16:51:10,27.5,35.2,High
2024-01-08 16:51:12,27.5,35.2,High
2024-01-08 16:51:14,27.5,35.1,High
2024-01-08 16:51:17,27.5,35.1,High
2024-01-08 16:51:19,27.6,35.1,High
2024-01-08 16:51:21,27.6,35.1,High
2024-01-08 16:51:24,27.6,35.1,High
2024-01-08 16:51:26,27.6,35.1,High
2024-01-08 16:51:28,27.5,35.0,High
2024-01-08 16:51:30,27.6,34.9,High
2024-01-08 16:51:33,27.6,35.0,High
2024-01-08 16:51:35,27.6,35.0,High
2024-01-08 16:51:37,27.6,35.0,High
2024-01-08 16:51:39,27.6,34.9,High
2024-01-08 16:51:42,27.6,35.0,High
2024-01-08 16:51:44,27.6,35.1,High
2024-01-08 16:51:46,27.6,35.0,High
2024-01-08 16:51:48,27.6,35.0,High
2024-01-08 16:51:51,27.6,34.9,High
2024-01-08 16:51:53,27.6,35.0,High
2024-01-08 16:51:55,27.6,35.0,High
2024-01-08 16:51:57,27.6,35.0,High
2024-01-08 16:52:00,27.6,35.1,High
2024-01-08 16:52:02,27.6,35.1,High
2024-01-08 16:52:04,27.6,35.0,High
2024-01-08 16:52:06,27.6,35.0,High
2024-01-08 16:52:09,27.6,35.0,High
2024-01-08 16:52:11,27.6,35.1,High
2024-01-08 16:52:15,27.6,35.0,High
2024-01-08 16:52:18,27.6,35.0,High
